datetime;date;login;platform;platform_name;publisher_name;rtype;mime;print_identifier;online_identifier;title_id;doi;publication_title;publication_date;unitid;domain;on_campus;log_id;ezpaarse_version;ezpaarse_date;middlewares_version;middlewares_date;platforms_version;platforms_date;middlewares;bib-groups;title;type;subject;geoip-country;geoip-latitude;geoip-longitude;user;section;department;unit;db_id;db_title;host;ezproxy-session;identd;url;status;size
2016-11-21T00:00:44+01:00;2016-11-21;8a647216838560ac9788f6b5ae7400f95d180afa;ebscohost;EbscoHost;EBSCO Publishing;OPENURL;HTML;15513777;1551-3793;;10.1002/ieam.132;Integrated Environmental Assessment;2011;10.1002/ieam.132;resolver.ebscohost.com;N;e246997cb40c084de3670117592c91e9fe361cd7;3.8.0;2022-10-24;8ab2026;2025-07-08;334f7224;2025-05-28;filter, parser, deduplicator, istex, crossref, sudoc, enhancer, geolocalizer, cut, on-campus-counter, ebscohost, populate, qualifier, anonymizer;inee;A review of the tissue residue approach for organic and organometallic compounds in aquatic organisms;journal-article;;FR;45.748;4.85;acbadf563f172ddeed1bca9f357e6e61a44c4a52;OTHER;DS55;UMR0000;;;82.248.97.189;AnvLlrEhpSsvYvo;;http://resolver.ebscohost.com:80/openurl?sid=EBSCO:8gh&genre=article&issn=15513777&ISBN=&volume=7&issue=1&date=20110101&spage=50&pages=50-74&title=Integrated%20Environmental%20Assessment%20&%20Management&atitle=A%20review%20of%20the%20tissue%20residue%20approach%20for%20organic%20and%20organometallic%20compounds%20in%20aquatic%20organisms.&aulast=McElroy%2C%20Anne%20E.&id=DOI:10.1002/ieam.132;200;8719
2016-11-21T00:04:24+01:00;2016-11-21;8a647216838560ac9788f6b5ae7400f95d180afa;istex;Istex;;;PDF;;;;;;;8A6B9F9DD301C7A59AE653736F7CB6AE9458B14C;api.istex.fr;N;9f1842a66cc5e3ead6d10d793036fbfc8c259a0a;3.8.0;2022-10-24;8ab2026;2025-07-08;334f7224;2025-05-28;filter, parser, deduplicator, istex, crossref, sudoc, enhancer, geolocalizer, cut, on-campus-counter, ebscohost, populate, qualifier, anonymizer;inee;;;;FR;45.748;4.85;acbadf563f172ddeed1bca9f357e6e61a44c4a52;OTHER;DS55;UMR0000;;;82.248.97.189;AnvLlrEhpSsvYvo;;https://api.istex.fr:443/document/8A6B9F9DD301C7A59AE653736F7CB6AE9458B14C/fulltext/pdf;200;340388
2016-11-21T00:04:27+01:00;2016-11-21;8a647216838560ac9788f6b5ae7400f95d180afa;wiley;Wiley;Wiley;ARTICLE;PDF;1551-3777;1551-3793;ieam;10.1002/ieam.132;Integrated Environmental Assessment and Management;2011;ieam.132;onlinelibrary.wiley.com;N;216e2367cd3fe3821894ecc1ca9bef276f8ce447;3.8.0;2022-10-24;8ab2026;2025-07-08;334f7224;2025-05-28;filter, parser, deduplicator, istex, crossref, sudoc, enhancer, geolocalizer, cut, on-campus-counter, ebscohost, populate, qualifier, anonymizer;inee;A review of the tissue residue approach for organic and organometallic compounds in aquatic organisms;journal-article;;FR;45.748;4.85;acbadf563f172ddeed1bca9f357e6e61a44c4a52;OTHER;DS55;UMR0000;;;82.248.97.189;AnvLlrEhpSsvYvo;;http://onlinelibrary.wiley.com:80/doi/10.1002/ieam.132/epdf;200;1923
2016-11-21T00:04:42+01:00;2016-11-21;8a647216838560ac9788f6b5ae7400f95d180afa;wiley;Wiley;Wiley;ARTICLE;;1551-3777;1551-3793;ieam;10.1002/ieam.132;Integrated Environmental Assessment and Management;2011;ieam.132;onlinelibrary.wiley.com;N;b3ed6566330100298ea87784f87cffdcbca3aa64;3.8.0;2022-10-24;8ab2026;2025-07-08;334f7224;2025-05-28;filter, parser, deduplicator, istex, crossref, sudoc, enhancer, geolocalizer, cut, on-campus-counter, ebscohost, populate, qualifier, anonymizer;inee;A review of the tissue residue approach for organic and organometallic compounds in aquatic organisms;journal-article;;FR;45.748;4.85;acbadf563f172ddeed1bca9f357e6e61a44c4a52;OTHER;DS55;UMR0000;;;82.248.97.189;AnvLlrEhpSsvYvo;;http://onlinelibrary.wiley.com:80/doi/10.1002/ieam.132/dynaTraceMonitor;200;298
2016-11-21T00:04:43+01:00;2016-11-21;8a647216838560ac9788f6b5ae7400f95d180afa;wiley;Wiley;Wiley;ARTICLE;;1551-3777;1551-3793;ieam;10.1002/ieam.132;Integrated Environmental Assessment and Management;2011;ieam.132;onlinelibrary.wiley.com;N;833d6c06fd8ea9b184d5256b7f88f1405f7ef0c3;3.8.0;2022-10-24;8ab2026;2025-07-08;334f7224;2025-05-28;filter, parser, deduplicator, istex, crossref, sudoc, enhancer, geolocalizer, cut, on-campus-counter, ebscohost, populate, qualifier, anonymizer;inee;A review of the tissue residue approach for organic and organometallic compounds in aquatic organisms;journal-article;;FR;45.748;4.85;acbadf563f172ddeed1bca9f357e6e61a44c4a52;OTHER;DS55;UMR0000;;;82.248.97.189;AnvLlrEhpSsvYvo;;http://onlinelibrary.wiley.com:80/doi/10.1002/ieam.132/dynaTraceMonitor;200;298
2016-11-21T00:35:49+01:00;2016-11-21;c8f18b2b45559498e32ae0da0ea66010083c794f;wos;Web of Science;;SEARCH;HTML;;;;;;;;apps.webofknowledge.com;N;54f9c077b77ed2f6aa4e9144fb7fa233c6e83cf7;3.8.0;2022-10-24;8ab2026;2025-07-08;334f7224;2025-05-28;filter, parser, deduplicator, istex, crossref, sudoc, enhancer, geolocalizer, cut, on-campus-counter, ebscohost, populate, qualifier, anonymizer;inee;;;;FR;48.8543;2.3527;acbadf563f172ddeed1bca9f357e6e61a44c4a52;CNRS;DS55;UMR0000;WOS;;86.247.33.98;vwWfaw81HyMSVly;;http://apps.webofknowledge.com:80/WOS_GeneralSearch_input.do?product=WOS&search_mode=GeneralSearch&SID=R1GwMnFiCfliRhrnoE9&preferencesSaved=;200;21064
2016-11-21T00:37:01+01:00;2016-11-21;c8f18b2b45559498e32ae0da0ea66010083c794f;ebscohost;EbscoHost;EBSCO Publishing;OPENURL;HTML;09621083;1365-294X;;10.1111/mec.13773;Molecular Ecology;2016;10.1111/mec.13773;resolver.ebscohost.com;N;00aea9a906f7787c98d595b16f7aa0d1765f5b40;3.8.0;2022-10-24;8ab2026;2025-07-08;334f7224;2025-05-28;filter, parser, deduplicator, istex, crossref, sudoc, enhancer, geolocalizer, cut, on-campus-counter, ebscohost, populate, qualifier, anonymizer;inee;Into the Andes: multiple independent colonizations drive montane diversity in the Neotropical clearwing butterflies Godyridina;journal-article;;FR;48.8543;2.3527;acbadf563f172ddeed1bca9f357e6e61a44c4a52;CNRS;DS55;UMR0000;;;86.247.33.98;vwWfaw81HyMSVly;;http://resolver.ebscohost.com:80/openurl?sid=EBSCO%3aedb&genre=article&issn=09621083&ISBN=&volume=25&issue=22&date=20161115&spage=5765&pages=5765-5784&title=Molecular+Ecology&atitle=Into+the+Andes%3a+multiple+independent+colonizations+drive+montane+diversity+in+the+Neotropical+clearwing+butterflies+Godyridina.&aulast=Chazot%2c+Nicolas&id=DOI%3a10.1111%2fmec.13773&site=ftf-live;200;7031
2016-11-21T00:37:13+01:00;2016-11-21;c8f18b2b45559498e32ae0da0ea66010083c794f;wiley;Wiley;Wiley;ARTICLE;PDF;0962-1083;1365-294X;mec;10.1111/mec.13773;Molecular Ecology;2016;mec.13773;onlinelibrary.wiley.com;N;ce15bb1f5047563b6618db81b7936d31bc063e21;3.8.0;2022-10-24;8ab2026;2025-07-08;334f7224;2025-05-28;filter, parser, deduplicator, istex, crossref, sudoc, enhancer, geolocalizer, cut, on-campus-counter, ebscohost, populate, qualifier, anonymizer;inee;Into the Andes: multiple independent colonizations drive montane diversity in the Neotropical clearwing butterflies Godyridina;journal-article;;FR;48.8543;2.3527;acbadf563f172ddeed1bca9f357e6e61a44c4a52;CNRS;DS55;UMR0000;;;86.247.33.98;vwWfaw81HyMSVly;;http://onlinelibrary.wiley.com:80/doi/10.1111/mec.13773/epdf;200;1916
2016-11-21T00:37:16+01:00;2016-11-21;c8f18b2b45559498e32ae0da0ea66010083c794f;wiley;Wiley;Wiley;ARTICLE;;0962-1083;1365-294X;mec;10.1111/mec.13773;Molecular Ecology;2016;mec.13773;onlinelibrary.wiley.com;N;42adb3873a16ae128967a73a2b5bedfd92126cc5;3.8.0;2022-10-24;8ab2026;2025-07-08;334f7224;2025-05-28;filter, parser, deduplicator, istex, crossref, sudoc, enhancer, geolocalizer, cut, on-campus-counter, ebscohost, populate, qualifier, anonymizer;inee;Into the Andes: multiple independent colonizations drive montane diversity in the Neotropical clearwing butterflies Godyridina;journal-article;;FR;48.8543;2.3527;acbadf563f172ddeed1bca9f357e6e61a44c4a52;CNRS;DS55;UMR0000;;;86.247.33.98;vwWfaw81HyMSVly;;http://onlinelibrary.wiley.com:80/doi/10.1111/mec.13773/dynaTraceMonitor;200;298
2016-11-21T01:24:12+01:00;2016-11-21;c8f18b2b45559498e32ae0da0ea66010083c794f;sd;Science Direct;Elsevier;TOC;HTML;1473-3099;;14733099;;The Lancet Infectious Diseases;;14733099;www.sciencedirect.com;N;5f1811a80d2d938b7a4448b0f2777a7568acef2d;3.8.0;2022-10-24;8ab2026;2025-07-08;334f7224;2025-05-28;filter, parser, deduplicator, istex, crossref, sudoc, enhancer, geolocalizer, cut, on-campus-counter, ebscohost, populate, qualifier, anonymizer;inee;;;;BF;12.3703;-1.5247;acbadf563f172ddeed1bca9f357e6e61a44c4a52;CNRS;DS55;UMR0000;;;197.239.65.26;Fhc6nV0Uvy61SUD;;http://www.sciencedirect.com:80/science/journal/14733099;200;186507
2016-11-21T01:28:26+01:00;2016-11-21;c8f18b2b45559498e32ae0da0ea66010083c794f;sd;Science Direct;Elsevier;ARTICLE;PDF;1473-3099;;14733099;;The Lancet Infectious Diseases;;S1473309916304510;ac.els-cdn.com;N;6e2399a550c6adac8007b4ea959cd54307df6a21;3.8.0;2022-10-24;8ab2026;2025-07-08;334f7224;2025-05-28;filter, parser, deduplicator, istex, crossref, sudoc, enhancer, geolocalizer, cut, on-campus-counter, ebscohost, populate, qualifier, anonymizer;inee;;;;BF;12.3703;-1.5247;acbadf563f172ddeed1bca9f357e6e61a44c4a52;CNRS;DS55;UMR0000;;;197.239.65.26;Fhc6nV0Uvy61SUD;;http://ac.els-cdn.com:80/S1473309916304510/1-s2.0-S1473309916304510-main.pdf?_tid=660e22a0-af81-11e6-8ccb-00000aab0f6c&acdnat=1479688278_aa7b70bda6beb04992d7b957b99ae6a7;200;680953
2016-11-21T01:31:57+01:00;2016-11-21;c8f18b2b45559498e32ae0da0ea66010083c794f;sd;Science Direct;Elsevier;ARTICLE;HTML;1473-3099;;14733099;;The Lancet Infectious Diseases;;S1473309916304777;www.sciencedirect.com;N;c6d94f7c999daaa1653f68073ff05e7984449d9f;3.8.0;2022-10-24;8ab2026;2025-07-08;334f7224;2025-05-28;filter, parser, deduplicator, istex, crossref, sudoc, enhancer, geolocalizer, cut, on-campus-counter, ebscohost, populate, qualifier, anonymizer;inee;;;;BF;12.3703;-1.5247;acbadf563f172ddeed1bca9f357e6e61a44c4a52;CNRS;DS55;UMR0000;;;197.239.65.26;Fhc6nV0Uvy61SUD;;http://www.sciencedirect.com:80/science/article/pii/S1473309916304777;200;52200
2016-11-21T01:42:45+01:00;2016-11-21;c8f18b2b45559498e32ae0da0ea66010083c794f;sd;Science Direct;Elsevier;TOC;HTML;1473-3099;;14733099;;The Lancet Infectious Diseases;;14733099/16;www.sciencedirect.com;N;66b7a81cd15902c81c14468f5efbe39559fd8bea;3.8.0;2022-10-24;8ab2026;2025-07-08;334f7224;2025-05-28;filter, parser, deduplicator, istex, crossref, sudoc, enhancer, geolocalizer, cut, on-campus-counter, ebscohost, populate, qualifier, anonymizer;inee;;;;BF;12.3703;-1.5247;acbadf563f172ddeed1bca9f357e6e61a44c4a52;CNRS;DS55;UMR0000;;;197.239.65.26;Fhc6nV0Uvy61SUD;;http://www.sciencedirect.com:80/science/journal/14733099/16/11;200;166643
2016-11-21T01:44:05+01:00;2016-11-21;c8f18b2b45559498e32ae0da0ea66010083c794f;sd;Science Direct;Elsevier;TOC;HTML;1471-4906;;14714906;;Trends in Immunology;;14714906;www.sciencedirect.com;N;69a774aa97ced7817f6587db685cc56e1e2d814e;3.8.0;2022-10-24;8ab2026;2025-07-08;334f7224;2025-05-28;filter, parser, deduplicator, istex, crossref, sudoc, enhancer, geolocalizer, cut, on-campus-counter, ebscohost, populate, qualifier, anonymizer;inee;;;;BF;12.3703;-1.5247;acbadf563f172ddeed1bca9f357e6e61a44c4a52;CNRS;DS55;UMR0000;;;197.239.65.26;Fhc6nV0Uvy61SUD;;http://www.sciencedirect.com:80/science/journal/14714906;200;105273
