datetime;date;login;platform;platform_name;publisher_name;rtype;mime;print_identifier;online_identifier;title_id;doi;publication_title;publication_date;unitid;domain;on_campus;log_id;ezpaarse_version;ezpaarse_date;middlewares_version;middlewares_date;platforms_version;platforms_date;middlewares;bib-groups;title;type;subject;geoip-country;geoip-latitude;geoip-longitude;user;section;department;unit;db_id;db_title;host;ezproxy-session;identd;url;status;size
2016-11-21T02:52:40+01:00;2016-11-21;6267e9842b9dfa83f4b7a5f177e9dd8c1fbb56f6;scopus;Scopus;;RECORD_VIEW;HTML;;;;;;;2-s2.0-79956882766;www.scopus.com;N;6ef5a95569b93d8372009e93d9ba4081a60dd878;3.8.0;2022-10-24;8ab2026;2025-07-08;334f7224;2025-05-28;filter, parser, deduplicator, istex, crossref, sudoc, enhancer, geolocalizer, cut, on-campus-counter, ebscohost, populate, qualifier, anonymizer;ins2i;;;;FR;43.2951;5.3861;acbadf563f172ddeed1bca9f357e6e61a44c4a52;CNRS;DS54;UMR0000;;;82.240.98.110;ChSIOfZFGow6cmz;;https://www.scopus.com:443/record/display.uri?eid=2-s2.0-79956882766&origin=inward&txGid=31F508D14A18E7AEE55F9D5F73DD5B4A.wsnAw8kcdt7IPYLO0V48gA%3a1;200;58725
2016-11-21T05:45:29+01:00;2016-11-21;752dca1c49880db302c2c70d1166d3a0d823ecb7;springer;Springer;Springer Science and Business Media LLC;ARTICLE;PDF;1617-4909;1617-4917;779;10.1007/s00779-014-0778-z;Personal and Ubiquitous Computing;2014;s00779-014-0778-z;download.springer.com;N;5def951897daab078e8c70d0e5b3a06827fb011f;3.8.0;2022-10-24;8ab2026;2025-07-08;334f7224;2025-05-28;filter, parser, deduplicator, istex, crossref, sudoc, enhancer, geolocalizer, cut, on-campus-counter, ebscohost, populate, qualifier, anonymizer;ins2i;Persuasive software design patterns for social influence;journal-article;;GP;16.2674;-61.5854;acbadf563f172ddeed1bca9f357e6e61a44c4a52;CNRS;DS61;UMR0000;;;90.15.146.12;QRifQyndPqqqubb;;http://download.springer.com:80/static/pdf/837/art%253A10.1007%252Fs00779-014-0778-z.pdf?originUrl=http%3A%2F%2Flink.springer.com%2Farticle%2F10.1007%2Fs00779-014-0778-z&token2=exp=1479704726~acl=%2Fstatic%2Fpdf%2F837%2Fart%25253A10.1007%25252Fs00779-014-0778-z.pdf%3ForiginUrl%3Dhttp%253A%252F%252Flink.springer.com%252Farticle%252F10.1007%252Fs00779-014-0778-z*~hmac=816f646db01153e3c862f68c5f6342e81378cc1487a3ac69f23f16d98d9098b1;200;868523
2016-11-21T08:12:43+01:00;2016-11-21;752dca1c49880db302c2c70d1166d3a0d823ecb7;springer;Springer;Springer International Publishing;BOOK_SECTION;HTML;1865-1348;1865-1356;;10.1007/978-3-319-49944-4_11;Lecture Notes in Business Information Processing;2016;978-3-319-49944-4_11;link.springer.com;N;a3cd8c380486943e7ef9e7f367eba3b53b1f7df3;3.8.0;2022-10-24;8ab2026;2025-07-08;334f7224;2025-05-28;filter, parser, deduplicator, istex, crossref, sudoc, enhancer, geolocalizer, cut, on-campus-counter, ebscohost, populate, qualifier, anonymizer;ins2i;From Web Analytics to Product Analytics: The Internet of Things as a New Data Source for Enterprise Information Systems;book-chapter;;GP;16.2674;-61.5854;acbadf563f172ddeed1bca9f357e6e61a44c4a52;CNRS;DS61;UMR0000;;;90.15.146.12;E9yyBWp05Qnwisn;;http://link.springer.com:80/chapter/10.1007/978-3-319-49944-4_11;200;71701
2016-11-21T09:38:28+01:00;2016-11-21;752dca1c49880db302c2c70d1166d3a0d823ecb7;ebscohost;EbscoHost;EBSCO Publishing;OPENURL;HTML;17468094;;;10.1016/j.bspc.2015.11.002;Biomedical Signal Processing and Control;2016;10.1016/j.bspc.2015.11.002;resolver.ebscohost.com;N;4afcb7eaec3c0f4f7166cd8f7f0d2f407874be1a;3.8.0;2022-10-24;8ab2026;2025-07-08;334f7224;2025-05-28;filter, parser, deduplicator, istex, crossref, sudoc, enhancer, geolocalizer, cut, on-campus-counter, ebscohost, populate, qualifier, anonymizer;ins2i;Automatic multi-organ segmentation of prostate magnetic resonance images using watershed and nonsubsampled contourlet transform;journal-article;;FR;50.3526;3.5287;acbadf563f172ddeed1bca9f357e6e61a44c4a52;CNRS;DS61;UMR0000;;;193.50.194.252;JKxZchgS6dWxZrd;;http://resolver.ebscohost.com:80/openurl?sid=EBSCO%3ainh&genre=article&issn=17468094&ISBN=&volume=25&issue=&date=20160301&spage=53&pages=53-61&title=Biomedical+Signal+Processing+and+Control&atitle=Automatic+multi-organ+segmentation+of+prostate+magnetic+resonance+images+using+watershed+and+nonsubsampled+contourlet+transform&aulast=Zhe+Huang&id=DOI%3a10.1016%2fj.bspc.2015.11.002&site=ftf-live;200;8945
2016-11-21T09:38:35+01:00;2016-11-21;752dca1c49880db302c2c70d1166d3a0d823ecb7;sd;Science Direct;Elsevier;ARTICLE;HTML;1746-8094;;17468094;10.1016/j.bspc.2015.11.002;Biomedical Signal Processing and Control;2016;S1746809415001809;www.sciencedirect.com;N;c893c6acd654f36416df2427a19dab8c390f3d5b;3.8.0;2022-10-24;8ab2026;2025-07-08;334f7224;2025-05-28;filter, parser, deduplicator, istex, crossref, sudoc, enhancer, geolocalizer, cut, on-campus-counter, ebscohost, populate, qualifier, anonymizer;ins2i;Automatic multi-organ segmentation of prostate magnetic resonance images using watershed and nonsubsampled contourlet transform;journal-article;;FR;50.3526;3.5287;acbadf563f172ddeed1bca9f357e6e61a44c4a52;CNRS;DS61;UMR0000;;;193.50.194.252;JKxZchgS6dWxZrd;;http://www.sciencedirect.com:80/science/article/pii/S1746809415001809;200;66226
2016-11-21T09:38:55+01:00;2016-11-21;752dca1c49880db302c2c70d1166d3a0d823ecb7;sd;Science Direct;Elsevier;ARTICLE;PDF;1746-8094;;17468094;10.1016/j.bspc.2015.11.002;Biomedical Signal Processing and Control;2016;S1746809415001809;ac.els-cdn.com;N;49ef1a716289c558f7110f18192c013abee5375e;3.8.0;2022-10-24;8ab2026;2025-07-08;334f7224;2025-05-28;filter, parser, deduplicator, istex, crossref, sudoc, enhancer, geolocalizer, cut, on-campus-counter, ebscohost, populate, qualifier, anonymizer;ins2i;Automatic multi-organ segmentation of prostate magnetic resonance images using watershed and nonsubsampled contourlet transform;journal-article;;FR;50.3526;3.5287;acbadf563f172ddeed1bca9f357e6e61a44c4a52;CNRS;DS61;UMR0000;;;193.50.194.252;JKxZchgS6dWxZrd;;http://ac.els-cdn.com:80/S1746809415001809/1-s2.0-S1746809415001809-main.pdf?_tid=eee669f4-afc5-11e6-bcac-00000aab0f02&acdnat=1479717713_0e2f2c3d81fb426eb6e95e2a1c4037c9;200;1836203
2016-11-21T09:40:48+01:00;2016-11-21;752dca1c49880db302c2c70d1166d3a0d823ecb7;sd;Science Direct;Elsevier;ARTICLE;PDF;0030-4026;;00304026;10.1016/j.ijleo.2015.10.081;Optik;2016;S0030402615014382;ac.els-cdn.com;N;02e31b4943e1f71d38531b889095c2203081977e;3.8.0;2022-10-24;8ab2026;2025-07-08;334f7224;2025-05-28;filter, parser, deduplicator, istex, crossref, sudoc, enhancer, geolocalizer, cut, on-campus-counter, ebscohost, populate, qualifier, anonymizer;ins2i;Patch-based segmentation using refined multifeature for magnetic resonance prostate images;journal-article;;FR;50.3526;3.5287;acbadf563f172ddeed1bca9f357e6e61a44c4a52;CNRS;DS61;UMR0000;;;193.50.194.252;JKxZchgS6dWxZrd;;http://ac.els-cdn.com:80/S0030402615014382/1-s2.0-S0030402615014382-main.pdf?_tid=32b8fade-afc6-11e6-857d-00000aab0f01&acdnat=1479717827_58a51bf52401052586d120db90867595;200;1385888
2016-11-21T09:49:27+01:00;2016-11-21;752dca1c49880db302c2c70d1166d3a0d823ecb7;sd;Science Direct;Elsevier;ARTICLE;HTML;0030-4026;;00304026;10.1016/j.ijleo.2015.10.081;Optik;2016;S0030402615014382;www.sciencedirect.com;N;dd4ad7d30c0f902e6d5df79e9e5f494fff06e6e3;3.8.0;2022-10-24;8ab2026;2025-07-08;334f7224;2025-05-28;filter, parser, deduplicator, istex, crossref, sudoc, enhancer, geolocalizer, cut, on-campus-counter, ebscohost, populate, qualifier, anonymizer;ins2i;Patch-based segmentation using refined multifeature for magnetic resonance prostate images;journal-article;;FR;50.3526;3.5287;acbadf563f172ddeed1bca9f357e6e61a44c4a52;CNRS;DS61;UMR0000;;;193.50.194.252;JKxZchgS6dWxZrd;;http://www.sciencedirect.com:80/science/article/pii/S0030402615014382;200;65729
2016-11-21T09:50:15+01:00;2016-11-21;752dca1c49880db302c2c70d1166d3a0d823ecb7;sd;Science Direct;Elsevier;ARTICLE;PDF;0030-4026;;00304026;10.1016/j.ijleo.2015.10.081;Optik;2016;S0030402615014382;ac.els-cdn.com;N;efcd01460b3d7b6e11452e898987b7324ddd4959;3.8.0;2022-10-24;8ab2026;2025-07-08;334f7224;2025-05-28;filter, parser, deduplicator, istex, crossref, sudoc, enhancer, geolocalizer, cut, on-campus-counter, ebscohost, populate, qualifier, anonymizer;ins2i;Patch-based segmentation using refined multifeature for magnetic resonance prostate images;journal-article;;FR;50.3526;3.5287;acbadf563f172ddeed1bca9f357e6e61a44c4a52;CNRS;DS61;UMR0000;;;193.50.194.252;JKxZchgS6dWxZrd;;http://ac.els-cdn.com:80/S0030402615014382/1-s2.0-S0030402615014382-main.pdf?_tid=7298c728-afc7-11e6-bd9c-00000aacb362&acdnat=1479718364_888b12f31328c10cec4a42b1dccc30e3;200;1385791
2016-11-21T09:50:54+01:00;2016-11-21;752dca1c49880db302c2c70d1166d3a0d823ecb7;sd;Science Direct;Elsevier;ARTICLE;PDF;0030-4026;;00304026;10.1016/j.ijleo.2015.10.081;Optik;2016;S0030402615014382;ac.els-cdn.com;N;e0f2080297433a3b495a7c85390f89657c1eaf44;3.8.0;2022-10-24;8ab2026;2025-07-08;334f7224;2025-05-28;filter, parser, deduplicator, istex, crossref, sudoc, enhancer, geolocalizer, cut, on-campus-counter, ebscohost, populate, qualifier, anonymizer;ins2i;Patch-based segmentation using refined multifeature for magnetic resonance prostate images;journal-article;;FR;50.3526;3.5287;acbadf563f172ddeed1bca9f357e6e61a44c4a52;CNRS;DS61;UMR0000;;;193.50.194.252;JKxZchgS6dWxZrd;;http://ac.els-cdn.com:80/S0030402615014382/1-s2.0-S0030402615014382-main.pdf?_tid=96983f50-afc7-11e6-80c5-00000aab0f01&acdnat=1479718424_77b3a6d31fb66068afba9af678892edb;200;1385791
