datetime;date;login;platform;platform_name;publisher_name;rtype;mime;print_identifier;online_identifier;title_id;doi;publication_title;publication_date;unitid;domain;on_campus;log_id;ezpaarse_version;ezpaarse_date;middlewares_version;middlewares_date;platforms_version;platforms_date;middlewares;bib-groups;title;type;subject;geoip-country;geoip-latitude;geoip-longitude;user;section;department;unit;db_id;db_title;host;ezproxy-session;identd;url;status;size
2016-11-21T00:02:36+01:00;2016-11-21;fdc83ec29eaec0e16fbca30f3e2536e88dda4f0e;cairn;CAIRN;Cairn;TOC;HTML;0987-1381;2105-2956;revue-quaderni;;Quaderni;;revue-quaderni;www.cairn.info;N;ee0d11b497903ece5123f6c2997ebf6d197104bb;3.8.0;2022-10-24;8ab2026;2025-07-08;334f7224;2025-05-28;filter, parser, deduplicator, istex, crossref, sudoc, enhancer, geolocalizer, cut, on-campus-counter, ebscohost, populate, qualifier, anonymizer;inshs;;;;FR;48.8543;2.3527;acbadf563f172ddeed1bca9f357e6e61a44c4a52;OTHER;DS54;UMR0000;;;89.156.75.26;5nOfSWINudjrZIb;;http://www.cairn.info:80/revue-quaderni.htm;200;56979
2016-11-21T00:02:44+01:00;2016-11-21;fdc83ec29eaec0e16fbca30f3e2536e88dda4f0e;cairn;CAIRN;Cairn;TOC;HTML;0987-1381;2105-2956;revue-quaderni;;Quaderni;2014;revue-quaderni-2014-1;www.cairn.info;N;657e196dbe2f098b575fe67ba06e02602a4380b6;3.8.0;2022-10-24;8ab2026;2025-07-08;334f7224;2025-05-28;filter, parser, deduplicator, istex, crossref, sudoc, enhancer, geolocalizer, cut, on-campus-counter, ebscohost, populate, qualifier, anonymizer;inshs;;;;FR;48.8543;2.3527;acbadf563f172ddeed1bca9f357e6e61a44c4a52;OTHER;DS54;UMR0000;;;89.156.75.26;5nOfSWINudjrZIb;;http://www.cairn.info:80/revue-quaderni-2014-1.htm;200;89429
2016-11-21T00:02:51+01:00;2016-11-21;fdc83ec29eaec0e16fbca30f3e2536e88dda4f0e;cairn;CAIRN;Cairn;ARTICLE;PDF;0987-1381;2105-2956;QUAD;;Quaderni;;QUAD_083_0005;www.cairn.info;N;bfac955c7aefe40f5a5b6b89ba77fe68cbf91cd7;3.8.0;2022-10-24;8ab2026;2025-07-08;334f7224;2025-05-28;filter, parser, deduplicator, istex, crossref, sudoc, enhancer, geolocalizer, cut, on-campus-counter, ebscohost, populate, qualifier, anonymizer;inshs;;;;FR;48.8543;2.3527;acbadf563f172ddeed1bca9f357e6e61a44c4a52;OTHER;DS54;UMR0000;;;89.156.75.26;5nOfSWINudjrZIb;;http://www.cairn.info:80/load_pdf.php?ID_ARTICLE=QUAD_083_0005;200;303563
2016-11-21T00:02:52+01:00;2016-11-21;fdc83ec29eaec0e16fbca30f3e2536e88dda4f0e;cairn;CAIRN;Cairn;ARTICLE;PDF;0987-1381;2105-2956;QUAD;;Quaderni;;QUAD_083_0011;www.cairn.info;N;8d944d13eb38fbcb1796f77c3657a8cf4cadec4d;3.8.0;2022-10-24;8ab2026;2025-07-08;334f7224;2025-05-28;filter, parser, deduplicator, istex, crossref, sudoc, enhancer, geolocalizer, cut, on-campus-counter, ebscohost, populate, qualifier, anonymizer;inshs;;;;FR;48.8543;2.3527;acbadf563f172ddeed1bca9f357e6e61a44c4a52;OTHER;DS54;UMR0000;;;89.156.75.26;5nOfSWINudjrZIb;;http://www.cairn.info:80/load_pdf.php?ID_ARTICLE=QUAD_083_0011;200;419395
2016-11-21T00:02:54+01:00;2016-11-21;fdc83ec29eaec0e16fbca30f3e2536e88dda4f0e;cairn;CAIRN;Cairn;ARTICLE;PDF;0987-1381;2105-2956;QUAD;;Quaderni;;QUAD_083_0029;www.cairn.info;N;6b8c4e50ee5b3e4f58ee4dea554b725ccb69d549;3.8.0;2022-10-24;8ab2026;2025-07-08;334f7224;2025-05-28;filter, parser, deduplicator, istex, crossref, sudoc, enhancer, geolocalizer, cut, on-campus-counter, ebscohost, populate, qualifier, anonymizer;inshs;;;;FR;48.8543;2.3527;acbadf563f172ddeed1bca9f357e6e61a44c4a52;OTHER;DS54;UMR0000;;;89.156.75.26;5nOfSWINudjrZIb;;http://www.cairn.info:80/load_pdf.php?ID_ARTICLE=QUAD_083_0029;200;358295
2016-11-21T00:02:56+01:00;2016-11-21;fdc83ec29eaec0e16fbca30f3e2536e88dda4f0e;cairn;CAIRN;Cairn;ARTICLE;PDF;0987-1381;2105-2956;QUAD;;Quaderni;;QUAD_083_0041;www.cairn.info;N;98230c1ed257e8671a29c9c93a155d3c5246f2f4;3.8.0;2022-10-24;8ab2026;2025-07-08;334f7224;2025-05-28;filter, parser, deduplicator, istex, crossref, sudoc, enhancer, geolocalizer, cut, on-campus-counter, ebscohost, populate, qualifier, anonymizer;inshs;;;;FR;48.8543;2.3527;acbadf563f172ddeed1bca9f357e6e61a44c4a52;OTHER;DS54;UMR0000;;;89.156.75.26;5nOfSWINudjrZIb;;http://www.cairn.info:80/load_pdf.php?ID_ARTICLE=QUAD_083_0041;200;398505
2016-11-21T00:02:58+01:00;2016-11-21;fdc83ec29eaec0e16fbca30f3e2536e88dda4f0e;cairn;CAIRN;Cairn;ARTICLE;PDF;0987-1381;2105-2956;QUAD;;Quaderni;;QUAD_083_0059;www.cairn.info;N;f1548ea123de46a53059396b0b9b460c7a547bdd;3.8.0;2022-10-24;8ab2026;2025-07-08;334f7224;2025-05-28;filter, parser, deduplicator, istex, crossref, sudoc, enhancer, geolocalizer, cut, on-campus-counter, ebscohost, populate, qualifier, anonymizer;inshs;;;;FR;48.8543;2.3527;acbadf563f172ddeed1bca9f357e6e61a44c4a52;OTHER;DS54;UMR0000;;;89.156.75.26;5nOfSWINudjrZIb;;http://www.cairn.info:80/load_pdf.php?ID_ARTICLE=QUAD_083_0059;200;388157
2016-11-21T00:03:00+01:00;2016-11-21;fdc83ec29eaec0e16fbca30f3e2536e88dda4f0e;cairn;CAIRN;Cairn;ARTICLE;PDF;0987-1381;2105-2956;QUAD;;Quaderni;;QUAD_083_0073;www.cairn.info;N;01e2b3ed24d0a03ed65cbfc98f090453310ffd61;3.8.0;2022-10-24;8ab2026;2025-07-08;334f7224;2025-05-28;filter, parser, deduplicator, istex, crossref, sudoc, enhancer, geolocalizer, cut, on-campus-counter, ebscohost, populate, qualifier, anonymizer;inshs;;;;FR;48.8543;2.3527;acbadf563f172ddeed1bca9f357e6e61a44c4a52;OTHER;DS54;UMR0000;;;89.156.75.26;5nOfSWINudjrZIb;;http://www.cairn.info:80/load_pdf.php?ID_ARTICLE=QUAD_083_0073;200;352936
2016-11-21T00:12:48+01:00;2016-11-21;6267e9842b9dfa83f4b7a5f177e9dd8c1fbb56f6;ebscohost;EbscoHost;EBSCO Publishing;OPENURL;HTML;21001340;;;;Itinéraires;;;resolver.ebscohost.com;N;53d651833401f67d701f98994f043c6ba8449ce3;3.8.0;2022-10-24;8ab2026;2025-07-08;334f7224;2025-05-28;filter, parser, deduplicator, istex, crossref, sudoc, enhancer, geolocalizer, cut, on-campus-counter, ebscohost, populate, qualifier, anonymizer;inshs;;;;MA;33.5922;-7.6184;acbadf563f172ddeed1bca9f357e6e61a44c4a52;CNRS;DS54;UMR0000;;;105.66.4.93;cuMc3aXJdkvETCT;;http://resolver.ebscohost.com:80/openurl?sid=EBSCO%3aedsrev&genre=article&issn=21001340&ISBN=&volume=&issue=&date=20140919&spage=&pages=&title=Itin%c3%a9raires&atitle=De+l%e2%80%99hybridit%c3%a9+du+corps+dans+l%e2%80%99art+marocain&aulast=Ouyachchi%2c+Anouar&id=DOI%3a&site=ftf-live;200;6678
2016-11-21T00:12:50+01:00;2016-11-21;6267e9842b9dfa83f4b7a5f177e9dd8c1fbb56f6;ebscohost;EbscoHost;EBSCO Publishing;OPENURL;HTML;13530194;;;;BRITISH JOURNAL OF MIDDLE EASTERN STUDIES;;;resolver.ebscohost.com;N;5d49f78498074b1eb9468c259640ddecd1f342b4;3.8.0;2022-10-24;8ab2026;2025-07-08;334f7224;2025-05-28;filter, parser, deduplicator, istex, crossref, sudoc, enhancer, geolocalizer, cut, on-campus-counter, ebscohost, populate, qualifier, anonymizer;inshs;;;;FR;48.8543;2.3527;acbadf563f172ddeed1bca9f357e6e61a44c4a52;CNRS;DS54;UMR0000;;;82.227.144.3;pKBqr8Izx2VxaaC;;http://resolver.ebscohost.com:80/openurl?sid=EBSCO%3aedsbl&genre=article&issn=13530194&ISBN=&volume=31&issue=PART+2&date=20040101&spage=263&pages=263-264&title=BRITISH+JOURNAL+OF+MIDDLE+EASTERN+STUDIES&atitle=Bulent+Aras%2c+Palestinian-Israeli+Peace+Process+and+Turkey&aulast=Stanley%2c+B.&id=DOI%3a&site=ftf-live;200;6976
